instant,dteday,season,year,month,hour,holiday,day_of_week,workingday,weather_condition,temp,atemp,humidity,wind_speed,casual,registered,total_count,day_category,humidity_category
5114,2011-08-05,Fall,2011,Aug,23,0,Friday,1,Clear,0.68,0.6364,69.0,0.2239,37,102,139,weekday,Too Humid
5115,2011-08-06,Fall,2011,Aug,0,0,Saturday,0,Clear,0.66,0.6061,78.0,0.194,29,104,133,weekend,Too Humid
5116,2011-08-06,Fall,2011,Aug,1,0,Saturday,0,Clear,0.66,0.6061,78.0,0.1642,17,50,67,weekend,Too Humid
5117,2011-08-06,Fall,2011,Aug,2,0,Saturday,0,Clear,0.66,0.6061,78.0,0.2239,14,39,53,weekend,Too Humid
5118,2011-08-06,Fall,2011,Aug,3,0,Saturday,0,Misty,0.66,0.6061,78.0,0.1642,14,28,42,weekend,Too Humid
5119,2011-08-06,Fall,2011,Aug,4,0,Saturday,0,Misty,0.66,0.6061,83.0,0.1642,5,5,10,weekend,Too Humid
5120,2011-08-06,Fall,2011,Aug,5,0,Saturday,0,Clear,0.64,0.5758,89.0,0.0896,2,4,6,weekend,Too Humid
5121,2011-08-06,Fall,2011,Aug,6,0,Saturday,0,Clear,0.64,0.5758,89.0,0.1045,5,22,27,weekend,Too Humid
5122,2011-08-06,Fall,2011,Aug,7,0,Saturday,0,Clear,0.68,0.6364,83.0,0.1642,14,49,63,weekend,Too Humid
5123,2011-08-06,Fall,2011,Aug,8,0,Saturday,0,Clear,0.68,0.6364,83.0,0.1642,27,94,121,weekend,Too Humid
5124,2011-08-06,Fall,2011,Aug,9,0,Saturday,0,Clear,0.74,0.697,70.0,0.2239,60,155,215,weekend,Too Humid
5125,2011-08-06,Fall,2011,Aug,10,0,Saturday,0,Misty,0.74,0.697,70.0,0.2836,91,199,290,weekend,Too Humid
5126,2011-08-06,Fall,2011,Aug,11,0,Saturday,0,Clear,0.78,0.7424,62.0,0.2239,138,211,349,weekend,Ideal
5127,2011-08-06,Fall,2011,Aug,12,0,Saturday,0,Clear,0.8,0.7576,55.00000000000001,0.2239,130,252,382,weekend,Ideal
5128,2011-08-06,Fall,2011,Aug,13,0,Saturday,0,Misty,0.8,0.7727,59.0,0.3284,176,265,441,weekend,Ideal
5129,2011-08-06,Fall,2011,Aug,14,0,Saturday,0,Clear,0.82,0.7727,52.0,0.2537,176,204,380,weekend,Ideal
5130,2011-08-06,Fall,2011,Aug,15,0,Saturday,0,Misty,0.84,0.803,53.0,0.2537,130,232,362,weekend,Ideal
5131,2011-08-06,Fall,2011,Aug,16,0,Saturday,0,Light_Rain_Snow,0.74,0.7121,79.0,0.1642,155,188,343,weekend,Too Humid
5132,2011-08-06,Fall,2011,Aug,17,0,Saturday,0,Light_Rain_Snow,0.74,0.7121,79.0,0.1642,61,88,149,weekend,Too Humid
5133,2011-08-06,Fall,2011,Aug,18,0,Saturday,0,Misty,0.72,0.697,79.0,0.4478,81,130,211,weekend,Too Humid
5134,2011-08-06,Fall,2011,Aug,19,0,Saturday,0,Light_Rain_Snow,0.72,0.7121,84.0,0.2537,57,114,171,weekend,Too Humid
5135,2011-08-06,Fall,2011,Aug,20,0,Saturday,0,Light_Rain_Snow,0.72,0.697,79.0,0.2836,58,79,137,weekend,Too Humid
5136,2011-08-06,Fall,2011,Aug,21,0,Saturday,0,Misty,0.7,0.6667,84.0,0.3284,28,86,114,weekend,Too Humid
5137,2011-08-06,Fall,2011,Aug,22,0,Saturday,0,Misty,0.7,0.6667,84.0,0.3284,24,96,120,weekend,Too Humid
5138,2011-08-06,Fall,2011,Aug,23,0,Saturday,0,Light_Rain_Snow,0.7,0.6667,84.0,0.2836,29,79,108,weekend,Too Humid
5139,2011-08-07,Fall,2011,Aug,0,0,Sunday,0,Misty,0.7,0.6667,84.0,0.2836,14,66,80,weekend,Too Humid
5140,2011-08-07,Fall,2011,Aug,1,0,Sunday,0,Misty,0.7,0.6667,84.0,0.2537,10,63,73,weekend,Too Humid
5141,2011-08-07,Fall,2011,Aug,2,0,Sunday,0,Misty,0.7,0.6667,84.0,0.2239,18,48,66,weekend,Too Humid
5142,2011-08-07,Fall,2011,Aug,3,0,Sunday,0,Misty,0.7,0.6667,84.0,0.1343,9,23,32,weekend,Too Humid
5143,2011-08-07,Fall,2011,Aug,4,0,Sunday,0,Clear,0.7,0.6667,84.0,0.1343,1,5,6,weekend,Too Humid
5144,2011-08-07,Fall,2011,Aug,5,0,Sunday,0,Clear,0.7,0.6667,89.0,0.194,1,4,5,weekend,Too Humid
5145,2011-08-07,Fall,2011,Aug,6,0,Sunday,0,Clear,0.7,0.6667,89.0,0.1642,3,10,13,weekend,Too Humid
5146,2011-08-07,Fall,2011,Aug,7,0,Sunday,0,Clear,0.7,0.6667,84.0,0.194,11,28,39,weekend,Too Humid
5147,2011-08-07,Fall,2011,Aug,8,0,Sunday,0,Clear,0.72,0.697,79.0,0.194,23,66,89,weekend,Too Humid
5148,2011-08-07,Fall,2011,Aug,9,0,Sunday,0,Clear,0.76,0.7424,75.0,0.1045,82,102,184,weekend,Too Humid
5149,2011-08-07,Fall,2011,Aug,10,0,Sunday,0,Clear,0.8,0.803,66.0,0.1343,88,178,266,weekend,Too Humid
5150,2011-08-07,Fall,2011,Aug,11,0,Sunday,0,Clear,0.82,0.8333,63.0,0.0,113,156,269,weekend,Ideal
5151,2011-08-07,Fall,2011,Aug,12,0,Sunday,0,Clear,0.9,0.8485,42.0,0.2985,161,209,370,weekend,Too Dry
5152,2011-08-07,Fall,2011,Aug,13,0,Sunday,0,Clear,0.9,0.8485,42.0,0.2985,118,206,324,weekend,Too Dry
5153,2011-08-07,Fall,2011,Aug,14,0,Sunday,0,Clear,0.86,0.803,47.0,0.194,130,192,322,weekend,Ideal
5154,2011-08-07,Fall,2011,Aug,15,0,Sunday,0,Light_Rain_Snow,0.72,0.697,74.0,0.2985,118,208,326,weekend,Too Humid
5155,2011-08-07,Fall,2011,Aug,16,0,Sunday,0,Light_Rain_Snow,0.72,0.697,74.0,0.2985,74,119,193,weekend,Too Humid
5156,2011-08-07,Fall,2011,Aug,17,0,Sunday,0,Light_Rain_Snow,0.74,0.7121,74.0,0.6418,63,131,194,weekend,Too Humid
5157,2011-08-07,Fall,2011,Aug,18,0,Sunday,0,Clear,0.72,0.697,74.0,0.0896,74,155,229,weekend,Too Humid
5158,2011-08-07,Fall,2011,Aug,19,0,Sunday,0,Clear,0.72,0.697,79.0,0.1642,68,160,228,weekend,Too Humid
5159,2011-08-07,Fall,2011,Aug,20,0,Sunday,0,Clear,0.72,0.7121,84.0,0.1343,50,133,183,weekend,Too Humid
5160,2011-08-07,Fall,2011,Aug,21,0,Sunday,0,Clear,0.72,0.7121,84.0,0.1045,36,100,136,weekend,Too Humid
5161,2011-08-07,Fall,2011,Aug,22,0,Sunday,0,Clear,0.7,0.6667,89.0,0.194,21,82,103,weekend,Too Humid
5162,2011-08-07,Fall,2011,Aug,23,0,Sunday,0,Clear,0.7,0.6667,79.0,0.1045,12,43,55,weekend,Too Humid
5163,2011-08-08,Fall,2011,Aug,0,0,Monday,1,Clear,0.7,0.6667,79.0,0.1045,13,17,30,weekday,Too Humid
5164,2011-08-08,Fall,2011,Aug,1,0,Monday,1,Clear,0.68,0.6364,83.0,0.1343,4,8,12,weekday,Too Humid
5165,2011-08-08,Fall,2011,Aug,2,0,Monday,1,Clear,0.66,0.5909,89.0,0.0,4,3,7,weekday,Too Humid
5166,2011-08-08,Fall,2011,Aug,3,0,Monday,1,Clear,0.66,0.5909,89.0,0.0,1,0,1,weekday,Too Humid
5167,2011-08-08,Fall,2011,Aug,4,0,Monday,1,Clear,0.66,0.5909,89.0,0.1045,2,8,10,weekday,Too Humid
5168,2011-08-08,Fall,2011,Aug,5,0,Monday,1,Clear,0.7,0.6667,79.0,0.0896,1,14,15,weekday,Too Humid
5169,2011-08-08,Fall,2011,Aug,6,0,Monday,1,Clear,0.7,0.6515,65.0,0.2836,8,87,95,weekday,Too Humid
5170,2011-08-08,Fall,2011,Aug,7,0,Monday,1,Clear,0.72,0.6818,62.0,0.2985,18,249,267,weekday,Ideal
5171,2011-08-08,Fall,2011,Aug,8,0,Monday,1,Clear,0.74,0.6818,57.99999999999999,0.3284,29,320,349,weekday,Ideal
5172,2011-08-08,Fall,2011,Aug,9,0,Monday,1,Clear,0.76,0.697,55.00000000000001,0.3881,37,146,183,weekday,Ideal
5173,2011-08-08,Fall,2011,Aug,10,0,Monday,1,Clear,0.8,0.7424,52.0,0.3881,62,62,124,weekday,Ideal
5174,2011-08-08,Fall,2011,Aug,11,0,Monday,1,Clear,0.82,0.7424,48.0,0.3582,90,89,179,weekday,Ideal
5175,2011-08-08,Fall,2011,Aug,12,0,Monday,1,Clear,0.82,0.7576,46.0,0.2537,48,134,182,weekday,Ideal
5176,2011-08-08,Fall,2011,Aug,13,0,Monday,1,Clear,0.84,0.7576,44.0,0.2985,43,108,151,weekday,Too Dry
5177,2011-08-08,Fall,2011,Aug,14,0,Monday,1,Clear,0.82,0.7424,43.0,0.2985,41,109,150,weekday,Too Dry
5178,2011-08-08,Fall,2011,Aug,15,0,Monday,1,Clear,0.84,0.7576,41.0,0.2985,40,86,126,weekday,Too Dry
5179,2011-08-08,Fall,2011,Aug,16,0,Monday,1,Clear,0.86,0.7727,39.0,0.2836,64,218,282,weekday,Too Dry
5180,2011-08-08,Fall,2011,Aug,17,0,Monday,1,Clear,0.86,0.7727,39.0,0.1642,67,460,527,weekday,Too Dry
5181,2011-08-08,Fall,2011,Aug,18,0,Monday,1,Clear,0.84,0.7576,41.0,0.1343,64,465,529,weekday,Too Dry
5182,2011-08-08,Fall,2011,Aug,19,0,Monday,1,Clear,0.82,0.7424,43.0,0.1045,64,352,416,weekday,Too Dry
5183,2011-08-08,Fall,2011,Aug,20,0,Monday,1,Clear,0.8,0.7576,55.00000000000001,0.0,71,215,286,weekday,Ideal
5184,2011-08-08,Fall,2011,Aug,21,0,Monday,1,Clear,0.76,0.7121,57.99999999999999,0.0896,30,156,186,weekday,Ideal
5185,2011-08-08,Fall,2011,Aug,22,0,Monday,1,Clear,0.76,0.7121,57.99999999999999,0.1045,26,121,147,weekday,Ideal
5186,2011-08-08,Fall,2011,Aug,23,0,Monday,1,Clear,0.74,0.697,66.0,0.1045,19,53,72,weekday,Too Humid
5187,2011-08-09,Fall,2011,Aug,0,0,Tuesday,1,Clear,0.72,0.697,79.0,0.1343,10,25,35,weekday,Too Humid
5188,2011-08-09,Fall,2011,Aug,1,0,Tuesday,1,Clear,0.72,0.6818,66.0,0.0,5,9,14,weekday,Too Humid
5189,2011-08-09,Fall,2011,Aug,2,0,Tuesday,1,Clear,0.72,0.6818,70.0,0.0,9,3,12,weekday,Too Humid
5190,2011-08-09,Fall,2011,Aug,3,0,Tuesday,1,Clear,0.72,0.6818,62.0,0.0,0,3,3,weekday,Ideal
5191,2011-08-09,Fall,2011,Aug,4,0,Tuesday,1,Clear,0.7,0.6667,74.0,0.0,1,6,7,weekday,Too Humid
5192,2011-08-09,Fall,2011,Aug,5,0,Tuesday,1,Clear,0.7,0.6515,65.0,0.0896,5,25,30,weekday,Too Humid
5193,2011-08-09,Fall,2011,Aug,6,0,Tuesday,1,Clear,0.72,0.6667,64.0,0.0,6,95,101,weekday,Ideal
5194,2011-08-09,Fall,2011,Aug,7,0,Tuesday,1,Clear,0.72,0.697,74.0,0.1045,30,313,343,weekday,Too Humid
5195,2011-08-09,Fall,2011,Aug,8,0,Tuesday,1,Clear,0.74,0.697,66.0,0.0,40,352,392,weekday,Too Humid
5196,2011-08-09,Fall,2011,Aug,9,0,Tuesday,1,Misty,0.78,0.7424,62.0,0.1343,34,141,175,weekday,Ideal
5197,2011-08-09,Fall,2011,Aug,10,0,Tuesday,1,Misty,0.8,0.7727,59.0,0.2239,55,89,144,weekday,Ideal
5198,2011-08-09,Fall,2011,Aug,11,0,Tuesday,1,Clear,0.8,0.7727,59.0,0.2239,61,88,149,weekday,Ideal
5199,2011-08-09,Fall,2011,Aug,12,0,Tuesday,1,Clear,0.82,0.7879,56.00000000000001,0.194,60,125,185,weekday,Ideal
5200,2011-08-09,Fall,2011,Aug,13,0,Tuesday,1,Clear,0.84,0.7879,49.0,0.1642,48,127,175,weekday,Ideal
5201,2011-08-09,Fall,2011,Aug,14,0,Tuesday,1,Clear,0.86,0.7879,44.0,0.2836,53,95,148,weekday,Too Dry
5202,2011-08-09,Fall,2011,Aug,15,0,Tuesday,1,Clear,0.86,0.7727,39.0,0.2836,58,106,164,weekday,Too Dry
5203,2011-08-09,Fall,2011,Aug,16,0,Tuesday,1,Clear,0.86,0.7727,39.0,0.2985,57,228,285,weekday,Too Dry
5204,2011-08-09,Fall,2011,Aug,17,0,Tuesday,1,Clear,0.8,0.7576,55.00000000000001,0.1642,79,453,532,weekday,Ideal
5205,2011-08-09,Fall,2011,Aug,18,0,Tuesday,1,Clear,0.8,0.7576,55.00000000000001,0.194,97,488,585,weekday,Ideal
5206,2011-08-09,Fall,2011,Aug,19,0,Tuesday,1,Clear,0.8,0.7424,49.0,0.1045,69,302,371,weekday,Ideal
5207,2011-08-09,Fall,2011,Aug,20,0,Tuesday,1,Clear,0.8,0.7273,43.0,0.194,34,258,292,weekday,Too Dry
5208,2011-08-09,Fall,2011,Aug,21,0,Tuesday,1,Clear,0.78,0.697,46.0,0.2537,46,184,230,weekday,Ideal
5209,2011-08-09,Fall,2011,Aug,22,0,Tuesday,1,Clear,0.78,0.697,46.0,0.2985,28,127,155,weekday,Ideal
5210,2011-08-09,Fall,2011,Aug,23,0,Tuesday,1,Clear,0.76,0.6818,48.0,0.2836,22,53,75,weekday,Ideal
5211,2011-08-10,Fall,2011,Aug,0,0,Wednesday,1,Clear,0.74,0.6667,51.0,0.2239,19,18,37,weekday,Ideal
5212,2011-08-10,Fall,2011,Aug,1,0,Wednesday,1,Clear,0.72,0.6667,54.0,0.194,7,10,17,weekday,Ideal
5213,2011-08-10,Fall,2011,Aug,2,0,Wednesday,1,Clear,0.72,0.6667,54.0,0.1642,1,10,11,weekday,Ideal
5214,2011-08-10,Fall,2011,Aug,3,0,Wednesday,1,Clear,0.7,0.6515,57.99999999999999,0.1642,1,3,4,weekday,Ideal
5215,2011-08-10,Fall,2011,Aug,4,0,Wednesday,1,Clear,0.7,0.6515,54.0,0.1343,1,4,5,weekday,Ideal
5216,2011-08-10,Fall,2011,Aug,5,0,Wednesday,1,Clear,0.68,0.6364,61.0,0.0896,2,30,32,weekday,Ideal
5217,2011-08-10,Fall,2011,Aug,6,0,Wednesday,1,Clear,0.68,0.6364,61.0,0.0,9,110,119,weekday,Ideal
5218,2011-08-10,Fall,2011,Aug,7,0,Wednesday,1,Clear,0.7,0.6515,57.99999999999999,0.0896,16,289,305,weekday,Ideal
5219,2011-08-10,Fall,2011,Aug,8,0,Wednesday,1,Clear,0.74,0.6667,51.0,0.194,38,361,399,weekday,Ideal
5220,2011-08-10,Fall,2011,Aug,9,0,Wednesday,1,Clear,0.76,0.6818,48.0,0.2239,32,148,180,weekday,Ideal
5221,2011-08-10,Fall,2011,Aug,10,0,Wednesday,1,Clear,0.8,0.7273,43.0,0.2239,41,72,113,weekday,Too Dry
5222,2011-08-10,Fall,2011,Aug,11,0,Wednesday,1,Clear,0.8,0.7121,41.0,0.3881,54,95,149,weekday,Too Dry
5223,2011-08-10,Fall,2011,Aug,12,0,Wednesday,1,Clear,0.82,0.7273,38.0,0.2985,74,166,240,weekday,Too Dry
5224,2011-08-10,Fall,2011,Aug,13,0,Wednesday,1,Clear,0.82,0.7273,38.0,0.2836,41,150,191,weekday,Too Dry
5225,2011-08-10,Fall,2011,Aug,14,0,Wednesday,1,Clear,0.84,0.7273,34.0,0.3284,62,116,178,weekday,Too Dry
5226,2011-08-10,Fall,2011,Aug,15,0,Wednesday,1,Clear,0.86,0.7424,30.0,0.3284,53,141,194,weekday,Too Dry
5227,2011-08-10,Fall,2011,Aug,16,0,Wednesday,1,Clear,0.86,0.7424,26.0,0.2985,76,206,282,weekday,Too Dry
5228,2011-08-10,Fall,2011,Aug,17,0,Wednesday,1,Clear,0.84,0.7121,26.0,0.2985,71,513,584,weekday,Too Dry
5229,2011-08-10,Fall,2011,Aug,18,0,Wednesday,1,Clear,0.82,0.7121,28.000000000000004,0.2985,70,489,559,weekday,Too Dry
5230,2011-08-10,Fall,2011,Aug,19,0,Wednesday,1,Clear,0.8,0.697,26.0,0.2537,79,334,413,weekday,Too Dry
5231,2011-08-10,Fall,2011,Aug,20,0,Wednesday,1,Clear,0.76,0.6667,31.0,0.1343,59,253,312,weekday,Too Dry
5232,2011-08-10,Fall,2011,Aug,21,0,Wednesday,1,Clear,0.76,0.6667,33.0,0.1045,47,162,209,weekday,Too Dry
5233,2011-08-10,Fall,2011,Aug,22,0,Wednesday,1,Clear,0.74,0.6515,37.0,0.0,17,122,139,weekday,Too Dry
5234,2011-08-10,Fall,2011,Aug,23,0,Wednesday,1,Clear,0.74,0.6515,37.0,0.0896,14,94,108,weekday,Too Dry
5235,2011-08-11,Fall,2011,Aug,0,0,Thursday,1,Clear,0.7,0.6364,45.0,0.1045,6,40,46,weekday,Ideal
5236,2011-08-11,Fall,2011,Aug,1,0,Thursday,1,Clear,0.7,0.6364,45.0,0.1343,9,17,26,weekday,Ideal
5237,2011-08-11,Fall,2011,Aug,2,0,Thursday,1,Clear,0.66,0.6212,54.0,0.1343,3,8,11,weekday,Ideal
5238,2011-08-11,Fall,2011,Aug,3,0,Thursday,1,Clear,0.64,0.6212,56.99999999999999,0.1343,2,7,9,weekday,Ideal
5239,2011-08-11,Fall,2011,Aug,4,0,Thursday,1,Clear,0.64,0.6212,56.99999999999999,0.1642,1,4,5,weekday,Ideal
5240,2011-08-11,Fall,2011,Aug,5,0,Thursday,1,Clear,0.64,0.6212,61.0,0.194,2,23,25,weekday,Ideal
5241,2011-08-11,Fall,2011,Aug,6,0,Thursday,1,Clear,0.62,0.6061,65.0,0.1642,5,101,106,weekday,Too Humid
5242,2011-08-11,Fall,2011,Aug,7,0,Thursday,1,Clear,0.66,0.6212,54.0,0.1343,15,292,307,weekday,Ideal
5243,2011-08-11,Fall,2011,Aug,8,0,Thursday,1,Clear,0.7,0.6364,45.0,0.1642,29,361,390,weekday,Ideal
5244,2011-08-11,Fall,2011,Aug,9,0,Thursday,1,Clear,0.72,0.6515,39.0,0.2239,31,166,197,weekday,Too Dry
5245,2011-08-11,Fall,2011,Aug,10,0,Thursday,1,Clear,0.74,0.6515,37.0,0.2537,36,96,132,weekday,Too Dry
5246,2011-08-11,Fall,2011,Aug,11,0,Thursday,1,Clear,0.76,0.6667,35.0,0.2537,59,128,187,weekday,Too Dry
5247,2011-08-11,Fall,2011,Aug,12,0,Thursday,1,Clear,0.78,0.6818,31.0,0.2537,50,164,214,weekday,Too Dry
5248,2011-08-11,Fall,2011,Aug,13,0,Thursday,1,Clear,0.76,0.6667,31.0,0.2239,51,166,217,weekday,Too Dry
5249,2011-08-11,Fall,2011,Aug,14,0,Thursday,1,Clear,0.8,0.697,28.999999999999996,0.0,39,103,142,weekday,Too Dry
5250,2011-08-11,Fall,2011,Aug,15,0,Thursday,1,Clear,0.8,0.697,28.999999999999996,0.2985,52,126,178,weekday,Too Dry
5251,2011-08-11,Fall,2011,Aug,16,0,Thursday,1,Clear,0.8,0.697,27.0,0.194,57,241,298,weekday,Too Dry
5252,2011-08-11,Fall,2011,Aug,17,0,Thursday,1,Clear,0.8,0.697,28.999999999999996,0.2537,96,486,582,weekday,Too Dry
5253,2011-08-11,Fall,2011,Aug,18,0,Thursday,1,Clear,0.78,0.6818,28.999999999999996,0.0896,74,497,571,weekday,Too Dry
5254,2011-08-11,Fall,2011,Aug,19,0,Thursday,1,Clear,0.74,0.6515,35.0,0.194,48,323,371,weekday,Too Dry
5255,2011-08-11,Fall,2011,Aug,20,0,Thursday,1,Clear,0.72,0.6515,37.0,0.1343,56,232,288,weekday,Too Dry
5256,2011-08-11,Fall,2011,Aug,21,0,Thursday,1,Clear,0.7,0.6515,48.0,0.0896,35,171,206,weekday,Ideal
5257,2011-08-11,Fall,2011,Aug,22,0,Thursday,1,Clear,0.7,0.6515,48.0,0.0,34,123,157,weekday,Ideal
5258,2011-08-11,Fall,2011,Aug,23,0,Thursday,1,Clear,0.66,0.6212,50.0,0.1642,22,105,127,weekday,Ideal
5259,2011-08-12,Fall,2011,Aug,0,0,Friday,1,Clear,0.64,0.6212,53.0,0.1642,12,53,65,weekday,Ideal
5260,2011-08-12,Fall,2011,Aug,1,0,Friday,1,Clear,0.64,0.6212,53.0,0.1343,4,19,23,weekday,Ideal
5261,2011-08-12,Fall,2011,Aug,2,0,Friday,1,Clear,0.62,0.6212,56.99999999999999,0.194,0,15,15,weekday,Ideal
5262,2011-08-12,Fall,2011,Aug,3,0,Friday,1,Clear,0.62,0.6212,53.0,0.1642,0,9,9,weekday,Ideal
5263,2011-08-12,Fall,2011,Aug,4,0,Friday,1,Clear,0.62,0.6212,53.0,0.1343,0,5,5,weekday,Ideal
5264,2011-08-12,Fall,2011,Aug,5,0,Friday,1,Clear,0.6,0.6212,56.00000000000001,0.1343,2,24,26,weekday,Ideal
5265,2011-08-12,Fall,2011,Aug,6,0,Friday,1,Clear,0.62,0.6212,50.0,0.1343,3,73,76,weekday,Ideal
5266,2011-08-12,Fall,2011,Aug,7,0,Friday,1,Clear,0.64,0.6212,44.0,0.1642,17,247,264,weekday,Too Dry
5267,2011-08-12,Fall,2011,Aug,8,0,Friday,1,Clear,0.68,0.6364,39.0,0.2239,29,397,426,weekday,Too Dry
5268,2011-08-12,Fall,2011,Aug,9,0,Friday,1,Clear,0.72,0.6515,34.0,0.1343,27,178,205,weekday,Too Dry
5269,2011-08-12,Fall,2011,Aug,10,0,Friday,1,Clear,0.74,0.6515,33.0,0.1045,44,86,130,weekday,Too Dry
5270,2011-08-12,Fall,2011,Aug,11,0,Friday,1,Clear,0.76,0.6667,28.999999999999996,0.0,48,108,156,weekday,Too Dry
5271,2011-08-12,Fall,2011,Aug,12,0,Friday,1,Clear,0.8,0.697,27.0,0.0,55,167,222,weekday,Too Dry
5272,2011-08-12,Fall,2011,Aug,13,0,Friday,1,Clear,0.78,0.6818,28.999999999999996,0.0896,74,179,253,weekday,Too Dry
5273,2011-08-12,Fall,2011,Aug,14,0,Friday,1,Clear,0.8,0.697,28.999999999999996,0.194,51,135,186,weekday,Too Dry
5274,2011-08-12,Fall,2011,Aug,15,0,Friday,1,Clear,0.8,0.697,28.999999999999996,0.1642,59,190,249,weekday,Too Dry
5275,2011-08-12,Fall,2011,Aug,16,0,Friday,1,Clear,0.82,0.7121,28.000000000000004,0.0,68,266,334,weekday,Too Dry
5276,2011-08-12,Fall,2011,Aug,17,0,Friday,1,Clear,0.82,0.7121,26.0,0.0,93,423,516,weekday,Too Dry
5277,2011-08-12,Fall,2011,Aug,18,0,Friday,1,Clear,0.76,0.6818,40.0,0.2985,89,376,465,weekday,Too Dry
5278,2011-08-12,Fall,2011,Aug,19,0,Friday,1,Clear,0.74,0.6667,42.0,0.2239,101,284,385,weekday,Too Dry
5279,2011-08-12,Fall,2011,Aug,20,0,Friday,1,Clear,0.72,0.6515,42.0,0.2239,77,210,287,weekday,Too Dry
5280,2011-08-12,Fall,2011,Aug,21,0,Friday,1,Clear,0.7,0.6515,48.0,0.1343,73,153,226,weekday,Ideal
5281,2011-08-12,Fall,2011,Aug,22,0,Friday,1,Clear,0.68,0.6364,51.0,0.0,74,157,231,weekday,Ideal
5282,2011-08-12,Fall,2011,Aug,23,0,Friday,1,Clear,0.68,0.6364,51.0,0.0,51,100,151,weekday,Ideal
5283,2011-08-13,Fall,2011,Aug,0,0,Saturday,0,Clear,0.68,0.6364,51.0,0.1045,15,69,84,weekend,Ideal
5284,2011-08-13,Fall,2011,Aug,1,0,Saturday,0,Misty,0.68,0.6364,56.99999999999999,0.0896,13,64,77,weekend,Ideal
5285,2011-08-13,Fall,2011,Aug,2,0,Saturday,0,Clear,0.68,0.6364,56.99999999999999,0.0,16,58,74,weekend,Ideal
5286,2011-08-13,Fall,2011,Aug,3,0,Saturday,0,Clear,0.66,0.6212,65.0,0.1343,9,18,27,weekend,Too Humid
5287,2011-08-13,Fall,2011,Aug,4,0,Saturday,0,Misty,0.64,0.6061,73.0,0.1343,5,5,10,weekend,Too Humid
5288,2011-08-13,Fall,2011,Aug,5,0,Saturday,0,Clear,0.64,0.6061,73.0,0.1045,3,15,18,weekend,Too Humid
5289,2011-08-13,Fall,2011,Aug,6,0,Saturday,0,Clear,0.64,0.6061,73.0,0.0896,3,19,22,weekend,Too Humid
5290,2011-08-13,Fall,2011,Aug,7,0,Saturday,0,Misty,0.66,0.6212,74.0,0.194,10,34,44,weekend,Too Humid
5291,2011-08-13,Fall,2011,Aug,8,0,Saturday,0,Misty,0.7,0.6515,65.0,0.1642,28,90,118,weekend,Too Humid
5292,2011-08-13,Fall,2011,Aug,9,0,Saturday,0,Misty,0.7,0.6667,74.0,0.1642,70,138,208,weekend,Too Humid
5293,2011-08-13,Fall,2011,Aug,10,0,Saturday,0,Misty,0.72,0.697,74.0,0.2239,97,163,260,weekend,Too Humid
5294,2011-08-13,Fall,2011,Aug,11,0,Saturday,0,Misty,0.74,0.697,70.0,0.194,122,192,314,weekend,Too Humid
5295,2011-08-13,Fall,2011,Aug,12,0,Saturday,0,Misty,0.66,0.5909,89.0,0.1642,175,246,421,weekend,Too Humid
5296,2011-08-13,Fall,2011,Aug,13,0,Saturday,0,Misty,0.74,0.7121,74.0,0.3284,61,92,153,weekend,Too Humid
5297,2011-08-13,Fall,2011,Aug,14,0,Saturday,0,Clear,0.74,0.697,70.0,0.2537,113,146,259,weekend,Too Humid
5298,2011-08-13,Fall,2011,Aug,15,0,Saturday,0,Light_Rain_Snow,0.68,0.6364,79.0,0.3582,150,208,358,weekend,Too Humid
5299,2011-08-13,Fall,2011,Aug,16,0,Saturday,0,Misty,0.7,0.6667,74.0,0.2836,148,133,281,weekend,Too Humid
5300,2011-08-13,Fall,2011,Aug,17,0,Saturday,0,Misty,0.72,0.697,74.0,0.2537,97,172,269,weekend,Too Humid
5301,2011-08-13,Fall,2011,Aug,18,0,Saturday,0,Clear,0.7,0.6667,74.0,0.2239,123,169,292,weekend,Too Humid
5302,2011-08-13,Fall,2011,Aug,19,0,Saturday,0,Misty,0.68,0.6364,79.0,0.2836,67,170,237,weekend,Too Humid
5303,2011-08-13,Fall,2011,Aug,20,0,Saturday,0,Misty,0.68,0.6364,83.0,0.2239,78,105,183,weekend,Too Humid
5304,2011-08-13,Fall,2011,Aug,21,0,Saturday,0,Misty,0.68,0.6364,83.0,0.3881,40,127,167,weekend,Too Humid
5305,2011-08-13,Fall,2011,Aug,22,0,Saturday,0,Misty,0.68,0.6364,83.0,0.3881,36,118,154,weekend,Too Humid
5306,2011-08-13,Fall,2011,Aug,23,0,Saturday,0,Misty,0.66,0.6061,83.0,0.3284,25,95,120,weekend,Too Humid
5307,2011-08-14,Fall,2011,Aug,0,0,Sunday,0,Light_Rain_Snow,0.66,0.6061,83.0,0.2985,19,71,90,weekend,Too Humid
5308,2011-08-14,Fall,2011,Aug,1,0,Sunday,0,Light_Rain_Snow,0.64,0.5758,89.0,0.2239,16,57,73,weekend,Too Humid
5309,2011-08-14,Fall,2011,Aug,2,0,Sunday,0,Light_Rain_Snow,0.64,0.5758,89.0,0.2239,13,49,62,weekend,Too Humid
5310,2011-08-14,Fall,2011,Aug,3,0,Sunday,0,Misty,0.64,0.5606,94.0,0.2537,5,22,27,weekend,Too Humid
5311,2011-08-14,Fall,2011,Aug,4,0,Sunday,0,Light_Rain_Snow,0.64,0.5606,94.0,0.194,1,2,3,weekend,Too Humid
