instant,dteday,season,year,month,holiday,day_of_week,workingday,weather_condition,temp,atemp,humidity,wind_speed,casual,registered,total_count,day_category,humidity_category
196,2011-07-15,Fall,2011,Jul,0,Friday,1,Clear,0.663333,0.624371,59.12500000000001,0.182833,1318,4220,5538,weekday,Ideal
197,2011-07-16,Fall,2011,Jul,0,Saturday,0,Clear,0.686667,0.638263,58.5,0.208342,2418,3505,5923,weekend,Ideal
198,2011-07-17,Fall,2011,Jul,0,Sunday,0,Clear,0.719167,0.669833,60.4167,0.245033,2006,3296,5302,weekend,Ideal
199,2011-07-18,Fall,2011,Jul,0,Monday,1,Clear,0.746667,0.703925,65.125,0.215804,841,3617,4458,weekday,Too Humid
200,2011-07-19,Fall,2011,Jul,0,Tuesday,1,Clear,0.776667,0.747479,65.0417,0.1306,752,3789,4541,weekday,Too Humid
201,2011-07-20,Fall,2011,Jul,0,Wednesday,1,Clear,0.768333,0.74685,70.70830000000001,0.113817,644,3688,4332,weekday,Too Humid
202,2011-07-21,Fall,2011,Jul,0,Thursday,1,Misty,0.815,0.826371,69.125,0.222021,632,3152,3784,weekday,Too Humid
203,2011-07-22,Fall,2011,Jul,0,Friday,1,Clear,0.848333,0.840896,58.0417,0.1331,562,2825,3387,weekday,Ideal
204,2011-07-23,Fall,2011,Jul,0,Saturday,0,Clear,0.849167,0.804287,50.0,0.131221,987,2298,3285,weekend,Ideal
205,2011-07-24,Fall,2011,Jul,0,Sunday,0,Clear,0.83,0.794829,55.0833,0.169171,1050,2556,3606,weekend,Ideal
206,2011-07-25,Fall,2011,Jul,0,Monday,1,Clear,0.743333,0.720958,75.7083,0.0908083,568,3272,3840,weekday,Too Humid
207,2011-07-26,Fall,2011,Jul,0,Tuesday,1,Clear,0.771667,0.696979,54.0833,0.200258,750,3840,4590,weekday,Ideal
208,2011-07-27,Fall,2011,Jul,0,Wednesday,1,Clear,0.775,0.690667,40.291700000000006,0.183463,755,3901,4656,weekday,Too Dry
209,2011-07-28,Fall,2011,Jul,0,Thursday,1,Clear,0.779167,0.7399,58.3333,0.178479,606,3784,4390,weekday,Ideal
210,2011-07-29,Fall,2011,Jul,0,Friday,1,Clear,0.838333,0.785967,54.25,0.174138,670,3176,3846,weekday,Ideal
211,2011-07-30,Fall,2011,Jul,0,Saturday,0,Clear,0.804167,0.728537,46.5833,0.168537,1559,2916,4475,weekend,Ideal
212,2011-07-31,Fall,2011,Jul,0,Sunday,0,Clear,0.805833,0.729796,48.0833,0.164813,1524,2778,4302,weekend,Ideal
213,2011-08-01,Fall,2011,Aug,0,Monday,1,Clear,0.771667,0.703292,55.0833,0.156717,729,3537,4266,weekday,Ideal
214,2011-08-02,Fall,2011,Aug,0,Tuesday,1,Clear,0.783333,0.707071,49.125,0.20585,801,4044,4845,weekday,Ideal
215,2011-08-03,Fall,2011,Aug,0,Wednesday,1,Misty,0.731667,0.679937,65.75,0.135583,467,3107,3574,weekday,Too Humid
216,2011-08-04,Fall,2011,Aug,0,Thursday,1,Misty,0.71,0.664788,75.75,0.19715,799,3777,4576,weekday,Too Humid
217,2011-08-05,Fall,2011,Aug,0,Friday,1,Clear,0.710833,0.656567,63.083299999999994,0.184696,1023,3843,4866,weekday,Ideal
218,2011-08-06,Fall,2011,Aug,0,Saturday,0,Misty,0.716667,0.676154,75.5,0.22825,1521,2773,4294,weekend,Too Humid
219,2011-08-07,Fall,2011,Aug,0,Sunday,0,Clear,0.7425,0.715292,75.29169999999999,0.201487,1298,2487,3785,weekend,Too Humid
220,2011-08-08,Fall,2011,Aug,0,Monday,1,Clear,0.765,0.703283,59.2083,0.192175,846,3480,4326,weekday,Ideal
221,2011-08-09,Fall,2011,Aug,0,Tuesday,1,Clear,0.775,0.724121,57.04169999999999,0.151121,907,3695,4602,weekday,Ideal
222,2011-08-10,Fall,2011,Aug,0,Wednesday,1,Clear,0.766667,0.684983,42.4167,0.200258,884,3896,4780,weekday,Too Dry
223,2011-08-11,Fall,2011,Aug,0,Thursday,1,Clear,0.7175,0.651521,42.375,0.164796,812,3980,4792,weekday,Too Dry
224,2011-08-12,Fall,2011,Aug,0,Friday,1,Clear,0.708333,0.654042,41.5,0.125621,1051,3854,4905,weekday,Too Dry
225,2011-08-13,Fall,2011,Aug,0,Saturday,0,Misty,0.685833,0.645858,72.9583,0.211454,1504,2646,4150,weekend,Too Humid
226,2011-08-14,Fall,2011,Aug,0,Sunday,0,Misty,0.676667,0.624388,81.75,0.222633,1338,2482,3820,weekend,Too Humid
227,2011-08-15,Fall,2011,Aug,0,Monday,1,Clear,0.665833,0.616167,71.20830000000001,0.208954,775,3563,4338,weekday,Too Humid
228,2011-08-16,Fall,2011,Aug,0,Tuesday,1,Clear,0.700833,0.645837,57.8333,0.236329,721,4004,4725,weekday,Ideal
229,2011-08-17,Fall,2011,Aug,0,Wednesday,1,Clear,0.723333,0.666671,57.5417,0.143667,668,4026,4694,weekday,Ideal
230,2011-08-18,Fall,2011,Aug,0,Thursday,1,Clear,0.711667,0.662258,65.45830000000001,0.233208,639,3166,3805,weekday,Too Humid
231,2011-08-19,Fall,2011,Aug,0,Friday,1,Misty,0.685,0.633221,72.2917,0.139308,797,3356,4153,weekday,Too Humid
232,2011-08-20,Fall,2011,Aug,0,Saturday,0,Clear,0.6975,0.648996,67.41669999999999,0.104467,1914,3277,5191,weekend,Too Humid
233,2011-08-21,Fall,2011,Aug,0,Sunday,0,Clear,0.710833,0.675525,77.0,0.248754,1249,2624,3873,weekend,Too Humid
234,2011-08-22,Fall,2011,Aug,0,Monday,1,Clear,0.691667,0.638254,47.0,0.27675,833,3925,4758,weekday,Ideal
235,2011-08-23,Fall,2011,Aug,0,Tuesday,1,Clear,0.640833,0.606067,45.5417,0.146763,1281,4614,5895,weekday,Ideal
236,2011-08-24,Fall,2011,Aug,0,Wednesday,1,Clear,0.673333,0.630692,60.5,0.253108,949,4181,5130,weekday,Ideal
237,2011-08-25,Fall,2011,Aug,0,Thursday,1,Misty,0.684167,0.645854,77.1667,0.210833,435,3107,3542,weekday,Too Humid
238,2011-08-26,Fall,2011,Aug,0,Friday,1,Clear,0.7,0.659733,76.125,0.0839625,768,3893,4661,weekday,Too Humid
239,2011-08-27,Fall,2011,Aug,0,Saturday,0,Misty,0.68,0.635556,85.0,0.375617,226,889,1115,weekend,Too Humid
240,2011-08-28,Fall,2011,Aug,0,Sunday,0,Clear,0.707059,0.647959,56.1765,0.304659,1415,2919,4334,weekend,Ideal
241,2011-08-29,Fall,2011,Aug,0,Monday,1,Clear,0.636667,0.607958,55.45830000000001,0.159825,729,3905,4634,weekday,Ideal
242,2011-08-30,Fall,2011,Aug,0,Tuesday,1,Clear,0.639167,0.594704,54.833299999999994,0.125008,775,4429,5204,weekday,Ideal
243,2011-08-31,Fall,2011,Aug,0,Wednesday,1,Clear,0.656667,0.611121,59.791700000000006,0.0833333,688,4370,5058,weekday,Ideal
244,2011-09-01,Fall,2011,Sep,0,Thursday,1,Clear,0.655,0.614921,63.916700000000006,0.141796,783,4332,5115,weekday,Ideal
245,2011-09-02,Fall,2011,Sep,0,Friday,1,Misty,0.643333,0.604808,72.70830000000001,0.139929,875,3852,4727,weekday,Too Humid
246,2011-09-03,Fall,2011,Sep,0,Saturday,0,Clear,0.669167,0.633213,71.6667,0.185325,1935,2549,4484,weekend,Too Humid
247,2011-09-04,Fall,2011,Sep,0,Sunday,0,Clear,0.709167,0.665429,74.20830000000001,0.206467,2521,2419,4940,weekend,Too Humid
248,2011-09-05,Fall,2011,Sep,1,Monday,0,Misty,0.673333,0.625646,79.0417,0.212696,1236,2115,3351,weekday,Too Humid
249,2011-09-06,Fall,2011,Sep,0,Tuesday,1,Light_Rain_Snow,0.54,0.5152,88.6957,0.343943,204,2506,2710,weekday,Too Humid
250,2011-09-07,Fall,2011,Sep,0,Wednesday,1,Light_Rain_Snow,0.599167,0.544229,91.7083,0.0970208,118,1878,1996,weekday,Too Humid
251,2011-09-08,Fall,2011,Sep,0,Thursday,1,Light_Rain_Snow,0.633913,0.555361,93.9565,0.192748,153,1689,1842,weekday,Too Humid
252,2011-09-09,Fall,2011,Sep,0,Friday,1,Misty,0.65,0.578946,89.79169999999999,0.124379,417,3127,3544,weekday,Too Humid
253,2011-09-10,Fall,2011,Sep,0,Saturday,0,Clear,0.66,0.607962,75.375,0.153608,1750,3595,5345,weekend,Too Humid
254,2011-09-11,Fall,2011,Sep,0,Sunday,0,Clear,0.653333,0.609229,71.375,0.115054,1633,3413,5046,weekend,Too Humid
255,2011-09-12,Fall,2011,Sep,0,Monday,1,Clear,0.644348,0.60213,69.2174,0.088913,690,4023,4713,weekday,Too Humid
256,2011-09-13,Fall,2011,Sep,0,Tuesday,1,Clear,0.650833,0.603554,71.25,0.141804,701,4062,4763,weekday,Too Humid
257,2011-09-14,Fall,2011,Sep,0,Wednesday,1,Clear,0.673333,0.6269,69.7083,0.1673,647,4138,4785,weekday,Too Humid
258,2011-09-15,Fall,2011,Sep,0,Thursday,1,Misty,0.5775,0.553671,70.9167,0.271146,428,3231,3659,weekday,Too Humid
259,2011-09-16,Fall,2011,Sep,0,Friday,1,Misty,0.469167,0.461475,59.0417,0.164183,742,4018,4760,weekday,Ideal
260,2011-09-17,Fall,2011,Sep,0,Saturday,0,Misty,0.491667,0.478512,71.8333,0.189675,1434,3077,4511,weekend,Too Humid
261,2011-09-18,Fall,2011,Sep,0,Sunday,0,Clear,0.5075,0.490537,69.5,0.178483,1353,2921,4274,weekend,Too Humid
262,2011-09-19,Fall,2011,Sep,0,Monday,1,Misty,0.549167,0.529675,69.0,0.151742,691,3848,4539,weekday,Too Humid
263,2011-09-20,Fall,2011,Sep,0,Tuesday,1,Misty,0.561667,0.532217,88.125,0.134954,438,3203,3641,weekday,Too Humid
264,2011-09-21,Fall,2011,Sep,0,Wednesday,1,Misty,0.595,0.550533,90.0,0.0964042,539,3813,4352,weekday,Too Humid
265,2011-09-22,Fall,2011,Sep,0,Thursday,1,Misty,0.628333,0.554963,90.2083,0.128125,555,4240,4795,weekday,Too Humid
266,2011-09-23,Winter,2011,Sep,0,Friday,1,Misty,0.609167,0.522125,97.25,0.0783667,258,2137,2395,weekday,Too Humid
267,2011-09-24,Winter,2011,Sep,0,Saturday,0,Misty,0.606667,0.564412,86.25,0.0783833,1776,3647,5423,weekend,Too Humid
268,2011-09-25,Winter,2011,Sep,0,Sunday,0,Misty,0.634167,0.572637,84.5,0.0503792,1544,3466,5010,weekend,Too Humid
269,2011-09-26,Winter,2011,Sep,0,Monday,1,Misty,0.649167,0.589042,84.8333,0.1107,684,3946,4630,weekday,Too Humid
270,2011-09-27,Winter,2011,Sep,0,Tuesday,1,Misty,0.636667,0.574525,88.5417,0.118171,477,3643,4120,weekday,Too Humid
271,2011-09-28,Winter,2011,Sep,0,Wednesday,1,Misty,0.635,0.575158,84.875,0.148629,480,3427,3907,weekday,Too Humid
272,2011-09-29,Winter,2011,Sep,0,Thursday,1,Clear,0.616667,0.574512,69.91669999999999,0.172883,653,4186,4839,weekday,Too Humid
273,2011-09-30,Winter,2011,Sep,0,Friday,1,Clear,0.564167,0.544829,64.75,0.206475,830,4372,5202,weekday,Ideal
274,2011-10-01,Winter,2011,Oct,0,Saturday,0,Misty,0.41,0.412863,75.375,0.292296,480,1949,2429,weekend,Too Humid
275,2011-10-02,Winter,2011,Oct,0,Sunday,0,Misty,0.356667,0.345317,79.1667,0.222013,616,2302,2918,weekend,Too Humid
276,2011-10-03,Winter,2011,Oct,0,Monday,1,Misty,0.384167,0.392046,76.0833,0.0833458,330,3240,3570,weekday,Too Humid
277,2011-10-04,Winter,2011,Oct,0,Tuesday,1,Clear,0.484167,0.472858,71.0,0.205854,486,3970,4456,weekday,Too Humid
278,2011-10-05,Winter,2011,Oct,0,Wednesday,1,Clear,0.538333,0.527138,64.79169999999999,0.17725,559,4267,4826,weekday,Ideal
279,2011-10-06,Winter,2011,Oct,0,Thursday,1,Clear,0.494167,0.480425,62.083299999999994,0.134954,639,4126,4765,weekday,Ideal
280,2011-10-07,Winter,2011,Oct,0,Friday,1,Clear,0.510833,0.504404,68.41669999999999,0.0223917,949,4036,4985,weekday,Too Humid
281,2011-10-08,Winter,2011,Oct,0,Saturday,0,Clear,0.521667,0.513242,70.125,0.0454042,2235,3174,5409,weekend,Too Humid
282,2011-10-09,Winter,2011,Oct,0,Sunday,0,Clear,0.540833,0.523983,72.75,0.06345,2397,3114,5511,weekend,Too Humid
283,2011-10-10,Winter,2011,Oct,1,Monday,0,Clear,0.570833,0.542925,73.375,0.0423042,1514,3603,5117,weekday,Too Humid
284,2011-10-11,Winter,2011,Oct,0,Tuesday,1,Misty,0.566667,0.546096,80.875,0.143042,667,3896,4563,weekday,Too Humid
285,2011-10-12,Winter,2011,Oct,0,Wednesday,1,Light_Rain_Snow,0.543333,0.517717,90.625,0.24815,217,2199,2416,weekday,Too Humid
286,2011-10-13,Winter,2011,Oct,0,Thursday,1,Misty,0.589167,0.551804,89.6667,0.141787,290,2623,2913,weekday,Too Humid
287,2011-10-14,Winter,2011,Oct,0,Friday,1,Misty,0.550833,0.529675,71.625,0.223883,529,3115,3644,weekday,Too Humid
288,2011-10-15,Winter,2011,Oct,0,Saturday,0,Clear,0.506667,0.498725,48.3333,0.258083,1899,3318,5217,weekend,Ideal
289,2011-10-16,Winter,2011,Oct,0,Sunday,0,Clear,0.511667,0.503154,48.6667,0.281717,1748,3293,5041,weekend,Ideal
290,2011-10-17,Winter,2011,Oct,0,Monday,1,Clear,0.534167,0.510725,57.958299999999994,0.175379,713,3857,4570,weekday,Ideal
291,2011-10-18,Winter,2011,Oct,0,Tuesday,1,Misty,0.5325,0.522721,70.1667,0.110087,637,4111,4748,weekday,Too Humid
292,2011-10-19,Winter,2011,Oct,0,Wednesday,1,Light_Rain_Snow,0.541739,0.513848,89.52170000000001,0.243339,254,2170,2424,weekday,Too Humid
293,2011-10-20,Winter,2011,Oct,0,Thursday,1,Clear,0.475833,0.466525,63.625,0.422275,471,3724,4195,weekday,Ideal
294,2011-10-21,Winter,2011,Oct,0,Friday,1,Clear,0.4275,0.423596,57.4167,0.221396,676,3628,4304,weekday,Ideal
295,2011-10-22,Winter,2011,Oct,0,Saturday,0,Clear,0.4225,0.425492,62.916700000000006,0.0926667,1499,2809,4308,weekend,Ideal
296,2011-10-23,Winter,2011,Oct,0,Sunday,0,Clear,0.421667,0.422333,74.125,0.0995125,1619,2762,4381,weekend,Too Humid
297,2011-10-24,Winter,2011,Oct,0,Monday,1,Clear,0.463333,0.457067,77.2083,0.118792,699,3488,4187,weekday,Too Humid
298,2011-10-25,Winter,2011,Oct,0,Tuesday,1,Clear,0.471667,0.463375,62.291700000000006,0.166658,695,3992,4687,weekday,Ideal
299,2011-10-26,Winter,2011,Oct,0,Wednesday,1,Misty,0.484167,0.472846,72.04169999999999,0.148642,404,3490,3894,weekday,Too Humid
300,2011-10-27,Winter,2011,Oct,0,Thursday,1,Misty,0.47,0.457046,81.2917,0.197763,240,2419,2659,weekday,Too Humid
301,2011-10-28,Winter,2011,Oct,0,Friday,1,Misty,0.330833,0.318812,58.58330000000001,0.229479,456,3291,3747,weekday,Ideal
302,2011-10-29,Winter,2011,Oct,0,Saturday,0,Light_Rain_Snow,0.254167,0.227913,88.25,0.351371,57,570,627,weekend,Too Humid
303,2011-10-30,Winter,2011,Oct,0,Sunday,0,Clear,0.319167,0.321329,62.375,0.176617,885,2446,3331,weekend,Ideal
304,2011-10-31,Winter,2011,Oct,0,Monday,1,Clear,0.34,0.356063,70.3333,0.10635,362,3307,3669,weekday,Too Humid
305,2011-11-01,Winter,2011,Nov,0,Tuesday,1,Clear,0.400833,0.397088,68.375,0.135571,410,3658,4068,weekday,Too Humid
306,2011-11-02,Winter,2011,Nov,0,Wednesday,1,Clear,0.3775,0.390133,71.875,0.0820917,370,3816,4186,weekday,Too Humid
307,2011-11-03,Winter,2011,Nov,0,Thursday,1,Clear,0.408333,0.405921,70.20830000000001,0.136817,318,3656,3974,weekday,Too Humid
308,2011-11-04,Winter,2011,Nov,0,Friday,1,Misty,0.403333,0.403392,62.25000000000001,0.271779,470,3576,4046,weekday,Ideal
309,2011-11-05,Winter,2011,Nov,0,Saturday,0,Clear,0.326667,0.323854,51.916700000000006,0.189062,1156,2770,3926,weekend,Ideal
310,2011-11-06,Winter,2011,Nov,0,Sunday,0,Clear,0.348333,0.362358,73.4583,0.0920542,952,2697,3649,weekend,Too Humid
311,2011-11-07,Winter,2011,Nov,0,Monday,1,Clear,0.395,0.400871,75.875,0.057225,373,3662,4035,weekday,Too Humid
312,2011-11-08,Winter,2011,Nov,0,Tuesday,1,Clear,0.408333,0.412246,72.16669999999999,0.0690375,376,3829,4205,weekday,Too Humid
313,2011-11-09,Winter,2011,Nov,0,Wednesday,1,Clear,0.4,0.409079,75.83330000000001,0.0621958,305,3804,4109,weekday,Too Humid
314,2011-11-10,Winter,2011,Nov,0,Thursday,1,Misty,0.38,0.373721,81.3333,0.189067,190,2743,2933,weekday,Too Humid
315,2011-11-11,Winter,2011,Nov,1,Friday,0,Clear,0.324167,0.306817,44.625,0.314675,440,2928,3368,weekday,Too Dry
316,2011-11-12,Winter,2011,Nov,0,Saturday,0,Clear,0.356667,0.357942,55.2917,0.212062,1275,2792,4067,weekend,Ideal
317,2011-11-13,Winter,2011,Nov,0,Sunday,0,Clear,0.440833,0.43055,45.8333,0.281721,1004,2713,3717,weekend,Ideal
318,2011-11-14,Winter,2011,Nov,0,Monday,1,Clear,0.53,0.524612,58.7083,0.306596,595,3891,4486,weekday,Ideal
319,2011-11-15,Winter,2011,Nov,0,Tuesday,1,Misty,0.53,0.507579,68.875,0.199633,449,3746,4195,weekday,Too Humid
320,2011-11-16,Winter,2011,Nov,0,Wednesday,1,Light_Rain_Snow,0.456667,0.451988,93.0,0.136829,145,1672,1817,weekday,Too Humid
321,2011-11-17,Winter,2011,Nov,0,Thursday,1,Misty,0.341667,0.323221,57.5833,0.305362,139,2914,3053,weekday,Ideal
322,2011-11-18,Winter,2011,Nov,0,Friday,1,Clear,0.274167,0.272721,41.0,0.168533,245,3147,3392,weekday,Too Dry
323,2011-11-19,Winter,2011,Nov,0,Saturday,0,Clear,0.329167,0.324483,50.208299999999994,0.224496,943,2720,3663,weekend,Ideal
324,2011-11-20,Winter,2011,Nov,0,Sunday,0,Misty,0.463333,0.457058,68.45830000000001,0.18595,787,2733,3520,weekend,Too Humid
325,2011-11-21,Winter,2011,Nov,0,Monday,1,Light_Rain_Snow,0.4475,0.445062,91.0,0.138054,220,2545,2765,weekday,Too Humid
326,2011-11-22,Winter,2011,Nov,0,Tuesday,1,Light_Rain_Snow,0.416667,0.421696,96.25,0.118792,69,1538,1607,weekday,Too Humid
327,2011-11-23,Winter,2011,Nov,0,Wednesday,1,Misty,0.440833,0.430537,75.79169999999999,0.335825,112,2454,2566,weekday,Too Humid
328,2011-11-24,Winter,2011,Nov,1,Thursday,0,Clear,0.373333,0.372471,54.9167,0.167304,560,935,1495,weekday,Ideal
329,2011-11-25,Winter,2011,Nov,0,Friday,1,Clear,0.375,0.380671,64.375,0.0988958,1095,1697,2792,weekday,Ideal
330,2011-11-26,Winter,2011,Nov,0,Saturday,0,Clear,0.375833,0.385087,68.1667,0.0684208,1249,1819,3068,weekend,Too Humid
331,2011-11-27,Winter,2011,Nov,0,Sunday,0,Clear,0.459167,0.4558,69.8333,0.208954,810,2261,3071,weekend,Too Humid
332,2011-11-28,Winter,2011,Nov,0,Monday,1,Clear,0.503478,0.490122,74.3043,0.142122,253,3614,3867,weekday,Too Humid
333,2011-11-29,Winter,2011,Nov,0,Tuesday,1,Misty,0.458333,0.451375,83.08330000000001,0.258092,96,2818,2914,weekday,Too Humid
334,2011-11-30,Winter,2011,Nov,0,Wednesday,1,Clear,0.325,0.311221,61.3333,0.271158,188,3425,3613,weekday,Ideal
335,2011-12-01,Winter,2011,Dec,0,Thursday,1,Clear,0.3125,0.305554,52.4583,0.220158,182,3545,3727,weekday,Ideal
336,2011-12-02,Winter,2011,Dec,0,Friday,1,Clear,0.314167,0.331433,62.583299999999994,0.100754,268,3672,3940,weekday,Ideal
337,2011-12-03,Winter,2011,Dec,0,Saturday,0,Clear,0.299167,0.310604,61.291700000000006,0.0957833,706,2908,3614,weekend,Ideal
338,2011-12-04,Winter,2011,Dec,0,Sunday,0,Clear,0.330833,0.3491,77.5833,0.0839583,634,2851,3485,weekend,Too Humid
339,2011-12-05,Winter,2011,Dec,0,Monday,1,Misty,0.385833,0.393925,82.70830000000001,0.0622083,233,3578,3811,weekday,Too Humid
340,2011-12-06,Winter,2011,Dec,0,Tuesday,1,Light_Rain_Snow,0.4625,0.4564,94.9583,0.232583,126,2468,2594,weekday,Too Humid
341,2011-12-07,Winter,2011,Dec,0,Wednesday,1,Light_Rain_Snow,0.41,0.400246,97.04169999999999,0.266175,50,655,705,weekday,Too Humid
342,2011-12-08,Winter,2011,Dec,0,Thursday,1,Clear,0.265833,0.256938,57.99999999999999,0.240058,150,3172,3322,weekday,Ideal
343,2011-12-09,Winter,2011,Dec,0,Friday,1,Clear,0.290833,0.317542,69.58330000000001,0.0827167,261,3359,3620,weekday,Too Humid
344,2011-12-10,Winter,2011,Dec,0,Saturday,0,Clear,0.275,0.266412,50.74999999999999,0.233221,502,2688,3190,weekend,Ideal
345,2011-12-11,Winter,2011,Dec,0,Sunday,0,Clear,0.220833,0.253154,49.0,0.0665417,377,2366,2743,weekend,Ideal
346,2011-12-12,Winter,2011,Dec,0,Monday,1,Clear,0.238333,0.270196,67.08330000000001,0.06345,143,3167,3310,weekday,Too Humid
347,2011-12-13,Winter,2011,Dec,0,Tuesday,1,Clear,0.2825,0.301138,59.0,0.14055,155,3368,3523,weekday,Ideal
348,2011-12-14,Winter,2011,Dec,0,Wednesday,1,Misty,0.3175,0.338362,66.375,0.0609583,178,3562,3740,weekday,Too Humid
349,2011-12-15,Winter,2011,Dec,0,Thursday,1,Misty,0.4225,0.412237,63.416700000000006,0.268042,181,3528,3709,weekday,Ideal
350,2011-12-16,Winter,2011,Dec,0,Friday,1,Misty,0.375,0.359825,50.0417,0.260575,178,3399,3577,weekday,Ideal
351,2011-12-17,Winter,2011,Dec,0,Saturday,0,Misty,0.258333,0.249371,56.0833,0.243167,275,2464,2739,weekend,Ideal
352,2011-12-18,Winter,2011,Dec,0,Sunday,0,Clear,0.238333,0.245579,58.62500000000001,0.169779,220,2211,2431,weekend,Ideal
353,2011-12-19,Winter,2011,Dec,0,Monday,1,Clear,0.276667,0.280933,63.74999999999999,0.172896,260,3143,3403,weekday,Ideal
354,2011-12-20,Winter,2011,Dec,0,Tuesday,1,Misty,0.385833,0.396454,59.5417,0.0615708,216,3534,3750,weekday,Ideal
355,2011-12-21,Spring,2011,Dec,0,Wednesday,1,Misty,0.428333,0.428017,85.83330000000001,0.2214,107,2553,2660,weekday,Too Humid
356,2011-12-22,Spring,2011,Dec,0,Thursday,1,Misty,0.423333,0.426121,75.75,0.047275,227,2841,3068,weekday,Too Humid
357,2011-12-23,Spring,2011,Dec,0,Friday,1,Clear,0.373333,0.377513,68.625,0.274246,163,2046,2209,weekday,Too Humid
358,2011-12-24,Spring,2011,Dec,0,Saturday,0,Clear,0.3025,0.299242,54.25,0.190304,155,856,1011,weekend,Ideal
359,2011-12-25,Spring,2011,Dec,0,Sunday,0,Clear,0.274783,0.279961,68.13040000000001,0.155091,303,451,754,weekend,Too Humid
360,2011-12-26,Spring,2011,Dec,1,Monday,0,Clear,0.321739,0.315535,50.6957,0.239465,430,887,1317,weekday,Ideal
361,2011-12-27,Spring,2011,Dec,0,Tuesday,1,Misty,0.325,0.327633,76.25,0.18845,103,1059,1162,weekday,Too Humid
362,2011-12-28,Spring,2011,Dec,0,Wednesday,1,Clear,0.29913,0.279974,50.39130000000001,0.293961,255,2047,2302,weekday,Ideal
363,2011-12-29,Spring,2011,Dec,0,Thursday,1,Clear,0.248333,0.263892,57.4167,0.119412,254,2169,2423,weekday,Ideal
364,2011-12-30,Spring,2011,Dec,0,Friday,1,Clear,0.311667,0.318812,63.6667,0.134337,491,2508,2999,weekday,Ideal
365,2011-12-31,Spring,2011,Dec,0,Saturday,0,Clear,0.41,0.414121,61.583299999999994,0.220154,665,1820,2485,weekend,Ideal
366,2012-01-01,Spring,2012,Jan,0,Sunday,0,Clear,0.37,0.375621,69.25,0.192167,686,1608,2294,weekend,Too Humid
367,2012-01-02,Spring,2012,Jan,1,Monday,0,Clear,0.273043,0.252304,38.130399999999995,0.329665,244,1707,1951,weekday,Too Dry
368,2012-01-03,Spring,2012,Jan,0,Tuesday,1,Clear,0.15,0.126275,44.125,0.365671,89,2147,2236,weekday,Too Dry
369,2012-01-04,Spring,2012,Jan,0,Wednesday,1,Misty,0.1075,0.119337,41.4583,0.1847,95,2273,2368,weekday,Too Dry
370,2012-01-05,Spring,2012,Jan,0,Thursday,1,Clear,0.265833,0.278412,52.416700000000006,0.129987,140,3132,3272,weekday,Ideal
371,2012-01-06,Spring,2012,Jan,0,Friday,1,Clear,0.334167,0.340267,54.2083,0.167908,307,3791,4098,weekday,Ideal
372,2012-01-07,Spring,2012,Jan,0,Saturday,0,Clear,0.393333,0.390779,53.1667,0.174758,1070,3451,4521,weekend,Ideal
373,2012-01-08,Spring,2012,Jan,0,Sunday,0,Clear,0.3375,0.340258,46.5,0.191542,599,2826,3425,weekend,Ideal
374,2012-01-09,Spring,2012,Jan,0,Monday,1,Misty,0.224167,0.247479,70.1667,0.0989,106,2270,2376,weekday,Too Humid
375,2012-01-10,Spring,2012,Jan,0,Tuesday,1,Clear,0.308696,0.318826,64.65220000000001,0.187552,173,3425,3598,weekday,Ideal
376,2012-01-11,Spring,2012,Jan,0,Wednesday,1,Misty,0.274167,0.282821,84.75,0.131221,92,2085,2177,weekday,Too Humid
377,2012-01-12,Spring,2012,Jan,0,Thursday,1,Misty,0.3825,0.381938,80.2917,0.180967,269,3828,4097,weekday,Too Humid
378,2012-01-13,Spring,2012,Jan,0,Friday,1,Clear,0.274167,0.249362,50.74999999999999,0.378108,174,3040,3214,weekday,Ideal
379,2012-01-14,Spring,2012,Jan,0,Saturday,0,Clear,0.18,0.183087,45.75,0.187183,333,2160,2493,weekend,Ideal
380,2012-01-15,Spring,2012,Jan,0,Sunday,0,Clear,0.166667,0.161625,41.9167,0.251258,284,2027,2311,weekend,Too Dry
381,2012-01-16,Spring,2012,Jan,1,Monday,0,Clear,0.19,0.190663,52.25,0.231358,217,2081,2298,weekday,Ideal
382,2012-01-17,Spring,2012,Jan,0,Tuesday,1,Misty,0.373043,0.364278,71.6087,0.34913,127,2808,2935,weekday,Too Humid
383,2012-01-18,Spring,2012,Jan,0,Wednesday,1,Clear,0.303333,0.275254,44.333299999999994,0.415429,109,3267,3376,weekday,Too Dry
384,2012-01-19,Spring,2012,Jan,0,Thursday,1,Clear,0.19,0.190038,49.75,0.220158,130,3162,3292,weekday,Ideal
385,2012-01-20,Spring,2012,Jan,0,Friday,1,Misty,0.2175,0.220958,45.0,0.20275,115,3048,3163,weekday,Ideal
386,2012-01-21,Spring,2012,Jan,0,Saturday,0,Misty,0.173333,0.174875,83.125,0.222642,67,1234,1301,weekend,Too Humid
387,2012-01-22,Spring,2012,Jan,0,Sunday,0,Misty,0.1625,0.16225,79.625,0.199638,196,1781,1977,weekend,Too Humid
388,2012-01-23,Spring,2012,Jan,0,Monday,1,Misty,0.218333,0.243058,91.125,0.110708,145,2287,2432,weekday,Too Humid
389,2012-01-24,Spring,2012,Jan,0,Tuesday,1,Clear,0.3425,0.349108,83.58330000000001,0.123767,439,3900,4339,weekday,Too Humid
